steps,loss,lr,ADE,FDE
20,3.8739126682281495,0.0002,11.233304929733276,19.1941125869751
40,3.679054832458496,0.0002,10.856522393226623,19.056533908843996
60,3.3893207987149556,0.0002,10.203846152623495,18.457456461588542
80,3.102738991379738,0.0002,9.426382166147231,17.55178008079529
100,2.812454005479813,0.0002,8.583166832923888,16.407829399108888
